,track_id,track_name,artist_name,release_date,danceability,energy,valence,tempo,duration_ms
101,5UdJ0vCFeZhubZvxbr9NyC,Way With Words,Bahamas,2017-12-01,0.78,0.532,0.717,147.266,260987
102,4zhbaPw1LhwKOTWD4E20vK,Boxes,The Goo Goo Dolls,2016-05-06,0.516,0.432,0.131,102.077,262747
103,1NXVB60hTvGueRCk5W6f52,My Perfect Sunday,Winterbourne,2016-05-27,0.469,0.67,0.539,131.748,208292
104,39b0ZgWMdUkZUjMozS4u1F,Across The Universe - Remix,Rufus Wainwright,2013-01-01,0.332,0.418,0.215,148.679,249387
105,5zh5frDVs3s4VQiCx0G7K8,Hey Baby - Remastered,Bruce Channel,2017-04-30,0.632,0.552,0.557,130.052,139621
106,26g8bCaVhcv0KkBi5SlEg7,Don't Leave Me This Way (with Sarah Jane Morris),The Communards,1997,0.654,0.915,0.916,131.942,260947
107,1E7QpnEGPmb4fvIVbl14zn,My Sweet Lord - 2010 Remaster / Encouraging Words Version,Billy Preston,2010-01-01,0.624,0.637,0.641,124.844,203427
108,2OawRn0NvWkStuemgdae4i,My Boo - Hitman's Club Mix,Various Artists,1996-06-04,0.885,0.477,0.691,130.078,346840
109,07Ugv4TA7PvQfoqetnmLrS,Everything Now,Arcade Fire,2017-06-01,0.548,0.865,0.61,116.046,303013
110,4HqxTpbXpLO1jgKJppk8Gl,"Oh, Loretta!",Sex on Toast,2015-06-08,0.655,0.554,0.696,176.129,269283
111,6jQYNR61L3oMMJDcZkniHV,Hold My Love,Sex on Toast,2014-03-28,0.433,0.41,0.229,168.664,296105
112,1mCsF9Tw4AkIZOjvZbZZdT,Break My Stride,Matthew Wilder,1983-03-19,0.917,0.588,0.828,110.077,184480
113,0FG9MKS3GlqAYA1nBpfeLE,Sitting In Limbo,Jimmy Cliff,1972-01-01,0.661,0.656,0.729,82.266,295373
114,7MRVNT4uMDimzM2DlgapiN,Pressure Drop - Single Version,Jimmy Cliff,1972-01-01,0.67,0.637,0.984,147.496,223027
115,7H7JURznifmV1Uq7I8rJUC,I Just Don't Want to Be Lonely,Bob & Marcia,2002,0.732,0.464,0.772,76.706,152133
116,3XZ1mhu7nuFrJOpv27Hu4d,Drift Away,Various Artists,2017-05-23,0.833,0.432,0.882,170.848,181707
117,4RIp4UTguC0F6TRV7xfKjv,Old Man - 2017 Remaster,Neil Young,1977,0.709,0.278,0.458,141.268,202400
118,4nLaeAathdcgAhhB0h5aWe,Open,Rhye,2013-01-01,0.558,0.327,0.204,91.016,217053
119,6hQ1OH4kWqkjxpZQt0rNwr,For You,Coldplay,2000-03-06,0.486,0.173,0.174,73.992,343907
120,3Gx4fRYFwGmnPRtCYvGFNf,Missed,Ella Henderson,2014-10-10,0.398,0.21,0.295,137.123,194627
121,4Qsbh3hrrJLul6FAlNlHQz,Sirens,Tom Odell,2013-06-21,0.458,0.573,0.206,147.229,220373
122,6ZEaDwf50SdJzHcVSQx0vL,Retrograde,James Blake,2013-01-01,0.477,0.255,0.179,77.513,223264
123,2GaAWaIazp02G4PZJV0gxX,Limit To Your Love,James Blake,2011-01-01,0.798,0.273,0.0455,139.986,276720
124,7MQEFAbD0OUgjhsiGQAcTr,A Case Of You,James Blake,2011-01-01,0.55,0.263,0.497,66.143,177400
125,3SqvR3HYLlCTYzbDXJ52OC,Lost on You,LP,2016-12-09,0.433,0.724,0.689,174.006,268105
126,1m2A0wGb43khkL02TdRt4K,40 Day Dream,Edward Sharpe & The Magnetic Zeros,2009-07-13,0.571,0.645,0.649,81.955,233587
127,5RROFztQ7ua0p9ttJ0U8nv,Nothing's Gonna Hurt You Baby,Cigarettes After Sex,2012-07-21,0.498,0.331,0.106,96.734,286293
128,06au29twKgLSXePchyZVWG,Keep on Loving You,Cigarettes After Sex,2015-10-05,0.455,0.37,0.125,73.683,233000
129,1HdNTlZrGTlgxDn31GB6Sv,Inside My Love - Remastered,Minnie Riperton,1993-01-01,0.527,0.279,0.256,90.728,238693
