,Unnamed: 0,rank,artist,country
42,42,43,Maroon 5,Switzerland
43,43,44,alt-J,Switzerland
44,44,45,Massive Attack,Switzerland
45,45,46,Simon & Garfunkel,Switzerland
46,46,47,Beck,Switzerland
47,47,48,Aretha Franklin,Switzerland
48,48,49,AC/DC,Switzerland
49,49,50,David Guetta,Switzerland
0,0,1,Justin Bieber,Zimbabwe
1,1,2,Daft Punk,Zimbabwe
2,2,3,David Guetta,Zimbabwe
3,3,4,Carly Rae Jepsen,Zimbabwe
4,4,5,Chris Brown,Zimbabwe
5,5,6,Wiz Khalifa,Zimbabwe
6,6,7,The Beatles,Zimbabwe
7,7,8,Radiohead,Zimbabwe
8,8,9,Coldplay,Zimbabwe
9,9,10,Muse,Zimbabwe
10,10,11,Lady Gaga,Zimbabwe
11,11,12,Kanye West,Zimbabwe
12,12,13,Lana Del Rey,Zimbabwe
13,13,14,Red Hot Chili Peppers,Zimbabwe
14,14,15,Ariana Grande,Zimbabwe
15,15,16,The Killers,Zimbabwe
16,16,17,Beyoncé,Zimbabwe
17,17,18,Paramore,Zimbabwe
18,18,19,Drake,Zimbabwe
19,19,20,Florence + the Machine,Zimbabwe
20,20,21,Katy Perry,Zimbabwe
21,21,22,Madonna,Zimbabwe
22,22,23,The Smiths,Zimbabwe
23,23,24,The Rolling Stones,Zimbabwe
24,24,25,Oasis,Zimbabwe
25,25,26,Queens of the Stone Age,Zimbabwe
26,26,27,Adele,Zimbabwe
27,27,28,Maroon 5,Zimbabwe
28,28,29,Ed Sheeran,Zimbabwe
29,29,30,The Weeknd,Zimbabwe
30,30,31,Avril Lavigne,Zimbabwe
31,31,32,Imagine Dragons,Zimbabwe
32,32,33,John Mayer,Zimbabwe
33,33,34,Modest Mouse,Zimbabwe
34,34,35,Mumford & Sons,Zimbabwe
35,35,36,Lorde,Zimbabwe
36,36,37,Weezer,Zimbabwe
37,37,38,Sia,Zimbabwe
38,38,39,Beck,Zimbabwe
39,39,40,Ellie Goulding,Zimbabwe
40,40,41,Mariah Carey,Zimbabwe
41,41,42,Nicki Minaj,Zimbabwe
42,42,43,Calvin Harris,Zimbabwe
43,43,44,Miley Cyrus,Zimbabwe
44,44,45,One Direction,Zimbabwe
45,45,46,Twenty One Pilots,Zimbabwe
46,46,47,Snow Patrol,Zimbabwe
47,47,48,P!nk,Zimbabwe
48,48,49,Elvis Presley,Zimbabwe
49,49,50,The Beach Boys,Zimbabwe
